2018-11-06 16:52:01.782| on thread[140447603222272 c0]| IP[192.168.0.244:5000]| master| 192.168.0.244| omer| (stmt : 0) | sqream|  Connection id - 0
2018-11-06 16:52:01.782| on thread[140447603222272 c0]| IP[192.168.0.244:5000]| master| 192.168.0.244| omer| (stmt : 0) | sqream|  Start Time - 2018-11-06 16:52:01
2018-11-06 16:52:01.782| on thread[140447603222272 c0]| IP[192.168.0.244:5000]| master| 192.168.0.244| omer| (stmt : 0) | sqream|  Statement create or replace table amit (x date);
2018-11-06 16:52:01.817| on thread[140447603222272 c0s0]| IP[192.168.0.244:5000]| master| 192.168.0.244| omer| (stmt : 0)| sqream|  Connection id - 0 - Executing - create or replace table amit (x date);
2018-11-06 16:52:01.901| on thread[140447603222272 c0s0]| IP[192.168.0.244:5000]| master| 192.168.0.244| omer| (stmt : 0) | sqream|  Connection id - 0
2018-11-06 16:52:01.901| on thread[140447603222272 c0s0]| IP[192.168.0.244:5000]| master| 192.168.0.244| omer| (stmt : 0) | sqream|  End Time - 2018-11-06 16:52:01
2018-11-06 16:52:01.901| on thread[140447603222272 c0s0]| IP[192.168.0.244:5000]| master| 192.168.0.244| omer| (stmt : 0) | sqream|  SQL - create or replace table amit (x date);
2018-11-06 16:52:01.901| on thread[140447603222272 c0s0]| IP[192.168.0.244:5000]| master| 192.168.0.244| omer| (stmt : 0) | sqream|  Success
2018-11-06 16:52:14.917| on thread[140447603222272 c0s0]| IP[192.168.0.244:5001]| master| 192.168.0.244| sqream| (stmt : 1) | sqream|  Connection id - 0
2018-11-06 16:52:14.917| on thread[140447603222272 c0s0]| IP[192.168.0.244:5001]| master| 192.168.0.244| sqream| (stmt : 1) | sqream|  Start Time - 2018-11-06 16:52:14
2018-11-06 16:52:14.918| on thread[140447603222272 c0s0]| IP[192.168.0.244:5001]| master| 192.168.0.244| sqream| (stmt : 1) | sqream|  Statement create or replace table amit (x int, y int);
2018-11-06 16:52:14.925| on thread[140447603222272 c0s1]| IP[192.168.0.244:5001]| master| 192.168.0.244| sqream| (stmt : 1)| sqream|  Connection id - 0 - Executing - create or replace table amit (x int, y int);
2018-11-06 16:52:15.160| on thread[140447603222272 c0s1]| IP[192.168.0.244:5001]| master| 192.168.0.244| sqream| (stmt : 1) | sqream|  Connection id - 0
2018-11-06 16:52:15.160| on thread[140447603222272 c0s1]| IP[192.168.0.244:5001]| master| 192.168.0.244| sqream| (stmt : 1) | sqream|  End Time - 2018-11-06 16:52:15
2018-11-06 16:52:15.160| on thread[140447603222272 c0s1]| IP[192.168.0.244:5001]| master| 192.168.0.244| sqream| (stmt : 1) | sqream|  SQL - create or replace table amit (x int, y int);
2018-11-06 16:52:15.160| on thread[140447603222272 c0s1]| IP[192.168.0.244:5001]| master| 192.168.0.244| sqream| (stmt : 1) | sqream|  Success
2018-11-06 16:52:19.111| on thread[140447603222272 c0s1]| IP[192.168.0.244:5001]| master| 192.168.0.244| sqream| (stmt : 2) | sqream|  Connection id - 0
2018-11-06 16:52:19.111| on thread[140447603222272 c0s1]| IP[192.168.0.244:5001]| master| 192.168.0.244| sqream| (stmt : 2) | sqream|  Start Time - 2018-11-06 16:52:19
2018-11-06 16:52:19.112| on thread[140447603222272 c0s1]| IP[192.168.0.244:5001]| master| 192.168.0.244| sqream| (stmt : 2) | sqream|  Statement create table amit (x int, y int);
2018-11-06 16:52:19.118| on thread[140447603222272 c0s1]| IP[192.168.0.244:5001]| master| 192.168.0.244| sqream| (stmt : 2) | sqream|  Connection id - 0
2018-11-06 16:52:19.118| on thread[140447603222272 c0s1]| IP[192.168.0.244:5001]| master| 192.168.0.244| sqream| (stmt : 2) | sqream|  End Time - 2018-11-06 16:52:19
2018-11-06 16:52:19.118| on thread[140447603222272 c0s1]| IP[192.168.0.244:5001]| master| 192.168.0.244| sqream| (stmt : 2) | sqream|  SQL - Can't create table 'public.amit' - a table with the same name already exists
2018-11-06 16:52:19.118| on thread[140447603222272 c0s1]| IP[192.168.0.244:5001]| master| 192.168.0.244| sqream| (stmt : 2) | sqream|  Failed
2018-11-06 16:52:27.223| on thread[140447603222272 c0s1]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 3) | sqream|  Connection id - 0
2018-11-06 16:52:27.223| on thread[140447603222272 c0s1]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 3) | sqream|  Start Time - 2018-11-06 16:52:27
2018-11-06 16:52:27.223| on thread[140447603222272 c0s1]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 3) | sqream|  Statement insert into amit values (1,1);
2018-11-06 16:52:27.312| on thread[140447603222272 c0s3]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 3)| sqream|  Connection id - 0 - Executing - insert into amit values (1,1);
2018-11-06 16:52:27.351| on thread[140447603222272 c0s3]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 3) | sqream|  Connection id - 0
2018-11-06 16:52:27.351| on thread[140447603222272 c0s3]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 3) | sqream|  End Time - 2018-11-06 16:52:27
2018-11-06 16:52:27.351| on thread[140447603222272 c0s3]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 3) | sqream|  SQL - insert into amit values (1,1);
2018-11-06 16:52:27.351| on thread[140447603222272 c0s3]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 3) | sqream|  ResultSet Num Of Rows - 4
2018-11-06 16:52:27.351| on thread[140447603222272 c0s3]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 3) | sqream|  Processed Num Of Rows - 11
2018-11-06 16:52:27.351| on thread[140447603222272 c0s3]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 3) | sqream|  Success
2018-11-06 16:52:28.71| on thread[140447603222272 c0s3]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 5) | sqream|  Connection id - 0
2018-11-06 16:52:28.71| on thread[140447603222272 c0s3]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 5) | sqream|  Start Time - 2018-11-06 16:52:28
2018-11-06 16:52:28.71| on thread[140447603222272 c0s3]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 5) | sqream|  Statement insert into amit values (1,1);
2018-11-06 16:52:28.118| on thread[140447603222272 c0s5]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 5)| sqream|  Connection id - 0 - Executing - insert into amit values (1,1);
2018-11-06 16:52:28.159| on thread[140447603222272 c0s5]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 5) | sqream|  Connection id - 0
2018-11-06 16:52:28.159| on thread[140447603222272 c0s5]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 5) | sqream|  End Time - 2018-11-06 16:52:28
2018-11-06 16:52:28.159| on thread[140447603222272 c0s5]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 5) | sqream|  SQL - insert into amit values (1,1);
